raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
4.9,81319,907007610,intelcorei5-12400f,32,1000,nvidiageforcertx3060,DDR4,6,4.4,12,600
4.5,75198,1637606956,intelcorei5-10400f,32,512,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.5,95651,1637607155,amdryzen57500f,16,1024,nvidiageforcertx3070,DDR4,6,3700,8,600
4.9,117962,1555440566,intelcorei7-12700f,32,1024,nvidiageforcertx3080,DDR4,12,3600,10,800
5,74730,961299585,intelcorei5-10400f,16,1000,nvidiageforcertx3060,DDR4,6,4.3,12,600
4.9,13383,1591172365,intelcorei5-3470,8,240,intelhdgraphics,DDR3,4,3.2,1,600
4.7,40411,1164195402,intelcorei5-3470,16,512,nvidiageforcegtx1660super,DDR3,4,3.2,6,600
4.9,52438,1579321273,intelcorei3-10105f,8,256,nvidiageforcegtx1650,DDR4,4,3600,4,500
4.9,30370,1608847313,intelxeone5-2650v2,32,512,amdradeonrx580,DDR3,8,2.7,8,500
4.5,56099,1416770503,amdryzen53600,16,256,nvidiageforcertx2060super,DDR4,6,3600,8,600
4.9,61859,1553830022,amdryzen55600,16,512,nvidiageforcertx2060super,DDR4,6,3500,8,600
4.9,227654,1666734699,intelcorei9-14900kf,64,1000,nvidiageforcertx4070ti,DDR5,24,3.2,12,800
4.9,105078,1461601997,intelcorei5-13400f,32,1024,nvidiageforcertx3080,DDR4,10,2500,10,800
4.9,107955,1666730369,intelcorei5-12400f,64,1000,nvidiageforcertx3050,DDR5,6,2.5,8,600
4.9,34345,1404635458,amdryzen54600g,16,480,amdradeonvega7,DDR4,6,3.7,2,450
4.9,61983,1553830171,intelcorei5-10400f,32,1024,nvidiageforcegtx1660super,DDR4,6,2900,6,500
4.5,74283,1637607013,amdryzen55600,32,512,nvidiageforcertx3060,DDR4,6,3500,12,600
4.9,53420,1591175072,amdryzen75700g,32,960,amdradeonvega8,DDR4,8,3.8,8,450
5,35610,1625370521,amdryzen55600g,16,480,amdradeonrxvega7,DDR4,6,3.9,8,500
4.7,35451,1584180718,intelcorei7-2600,16,1024,amdradeonrx580,DDR3,4,3.4,8,600
4.9,79553,1652470950,amdryzen55600x,16,1000,amdradeonrx7600,DDR4,6,3.7,8,550
4.9,57672,1654694929,intelcorei3-10105f,16,512,nvidiageforcertx2060super,DDR4,4,3600,8,600
4.9,185050,1653513668,intelcorei7-14700kf,64,2000,amdradeonrx7800xt,DDR5,20,3.4,16,750
4.5,162726,1652470373,amdryzen57500f,32,2000,nvidiageforcertx4070ti,DDR5,6,3.7,12,700
5,99111,1427466559,intelcorei5-12400f,32,1000,nvidiageforcertx4060ti,DDR4,6,2500,16,600
4.8,16250,1428198049,intelcorei5-2400,16,512,intelhdgraphics,DDR3,4,3.1,1,600
4.9,95637,1666731624,intelcorei5-13400,16,500,amdradeonrx6600,DDR5,10,2.5,8,600
4.9,61983,1553830171,intelcorei5-10400f,32,1024,nvidiageforcegtx1660super,DDR4,6,2900,6,500
4.9,69608,1652469367,intelcorei5-11400f,16,1000,amdradeonrx6600,DDR4,6,2.6,8,450
4.9,101717,1461128318,intelcorei5-13400f,32,1024,nvidiageforcertx3060ti,DDR4,10,2500,8,600
4.9,66872,1681685679,amdryzen53600,32,1024,nvidiageforcertx3060,DDR4,6,3.6,12,600
5,93358,1226000359,intelcorei7-12700f,32,1000,nvidiageforcertx4060,DDR4,12,3600,8,600
5,19260,1235038012,intelcorei7-2600,16,512,intelhdgraphics2000,DDR3,8,3.4,2,500
4.9,161743,1666731664,intelcorei7-14700kf,32,1000,nvidiageforcertx4070super,DDR5,20,3.4,12,800
4.7,11286,1389498547,amda10-7800,16,512,amdradeonr7,DDR3,4,3500,8,300
4.5,53426,1637607654,amdryzen55600,16,512,amdradeonrx580,DDR4,6,3500,8,500
4.9,54613,1637329148,amdryzen55500,16,512,nvidiageforcertx2060super,DDR4,6,3600,8,600
4.7,31274,1395052337,amdryzen54600g,16,512,amdradeonvega7,DDR4,6,3.7,2,500
4.5,27535,1328978149,intelcorei3-2100,16,480,nvidiageforcegt1030,DDR3,2,3.1,2,350
